Map 6.8,,,
"Employee jobs, by ward",,,
,,,Numbers
Ward,Code,Borough,Employees
,,,
Plumstead,00ALHC,Greenwich,"1,806"
ShootersHill,00ALHD,Greenwich,"1,025"
ThamesmeadMoorings,00ALHE,Greenwich,"4,833"
WoolwichCommon,00ALHF,Greenwich,"6,399"
WoolwichRiverside,00ALHG,Greenwich,"9,907"
Brownswood,00AMGA,Hackney,965
Cazenove,00AMGB,Hackney,"1,413"
Chatham,00AMGC,Hackney,"6,239"
Clissold,00AMGD,Hackney,"1,637"
Dalston,00AMGE,Hackney,"3,770"
DeBeauvoir,00AMGF,Hackney,"2,920"
HackneyCentral,00AMGG,Hackney,"3,722"
HackneyDowns,00AMGH,Hackney,"1,291"
Haggerston,00AMGJ,Hackney,"29,491"
Hoxton,00AMGK,Hackney,"11,954"
King'sPark,00AMGL,Hackney,"1,070"
Leabridge,00AMGM,Hackney,"1,177"
Lordship,00AMGN,Hackney,"2,060"
NewRiver,00AMGP,Hackney,"2,255"
Queensbridge,00AMGQ,Hackney,"2,793"
Springfield,00AMGR,Hackney,"1,290"
StokeNewingtonCentral,00AMGS,Hackney,"3,700"
Victoria,00AMGT,Hackney,"1,728"
Wick,00AMGU,Hackney,"2,345"
Addison,00ANGA,Hammersmith and Fulham,"5,608"
Askew,00ANGB,Hammersmith and Fulham,"1,831"
AvonmoreandBrookGreen,00ANGC,Hammersmith and Fulham,"9,783"
CollegeParkandOldOak,00ANGD,Hammersmith and Fulham,"16,591"
FulhamBroadway,00ANGE,Hammersmith and Fulham,"3,875"
FulhamReach,00ANGF,Hammersmith and Fulham,"4,173"
HammersmithBroadway,00ANGG,Hammersmith and Fulham,"23,183"
Munster,00ANGH,Hammersmith and Fulham,"2,522"
NorthEnd,00ANGJ,Hammersmith and Fulham,"3,646"
PalaceRiverside,00ANGK,Hammersmith and Fulham,"2,553"
ParsonsGreenandWalham,00ANGL,Hammersmith and Fulham,"5,404"
RavenscourtPark,00ANGM,Hammersmith and Fulham,"5,813"
SandsEnd,00ANGN,Hammersmith and Fulham,"6,268"
Shepherd'sBushGreen,00ANGP,Hammersmith and Fulham,"11,766"
Town,00ANGQ,Hammersmith and Fulham,"5,734"
