Docking Station Unique Name,Village Name,Terminal Location Easting X co-ordinate ,Terminal Location Y co-ordinate (Face A/B),Max docking points
Harper Road,The Borough,532246.71,179457.81,42
Swan Street,The Borough,532479.75,179652.88,27
Great Dover Street,The Borough,532718.34,179334.86,16
Long Lane ,Bermondsey,532975.83,179529.99,20
Bricklayers Arms,The Borough,532977.22,179083.3,16
Borough Road,Elephant & Castle,531950.9,179483.56,16
Dickens Square,The Borough,532410.03,179261.03,32
Tyers Gate,Bermondsey,533144.55,179736.24,36
Curlew Street,Shad Thames,533763.05,179907.22,21
Colombo Street,Southwark,531567.52,180203.72,18
Ontario Street,Elephant & Castle,531892.27,179217.4,15
Bermondsey Street,Bermondsey,533261.06,179401.7,18
Hampton Street,Walworth,531894.21,178733.38,16
Geraldine Street,Elephant & Castle,531572.94,179165.49,17
Wansey Street,Walworth,532201.84,178631.36,16
Kennington Road  ,Vauxhall,531234.8,179111.16,36
Rodney Road ,Walworth,532681.73,178677.61,24
Braham Street,Aldgate,533773.28,181237.7,16
Tower Gardens ,Tower,533653.76,180708.49,24
Vaughan Way,Wapping,534231.65,180605.6,24
Commercial Street,Shoreditch,533611.07,182016.51,16
Bethnal Green Road,Shoreditch,533661.28,182282.38,22
Wapping High Street,Wapping,534197.58,180201.54,16
Leman Street,Aldgate,534056,181037.08,16
Altab Ali Park,Whitechapel,534161.89,181535.31,16
New Road ,Whitechapel,534517.16,181693.13,32
Royal London Hospital,Whitechapel,534723.17,181800.37,17
Fashion Street,Whitechapel,533767.99,181699.01,23
Brushfield Street,Liverpool Street,533380.93,181755.97,22
Embankment (Savoy),Strand,530628.75,180643.74,42
Vauxhall Bridge ,Pimlico,529973.46,178260.55,35
Queen Mother Sports Centre,Victoria,529223.25,178820.98,26
Royal Mews,Victoria,528942.48,179302.62,26
Wellington Arch,Hyde Park ,528530.17,179823.44,36
Knightsbridge,Hyde Park,528128.94,179815.18,43
Park Lane ,Hyde Park,527974.95,180619.17,26
St. John's Wood Road,St. John's Wood,526721.14,182510.28,35
Westminster University,Marylebone,528104.35,182009.43,16
Grosvenor Road,Pimlico,529090.15,177903.33,33
Claverton Street,Pimlico,529377.55,177853.07,18
